,v_state,t_state,county,tweets_count,ADI,month,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,administered_dose1_pop_pct_12,administered_dose1_pop_pct_01,administered_dose1_pop_pct_02,administered_dose1_pop_pct_03,svi_ctgy,metro_status,census2019,Dominant Topic
3511,GA,Georgia,Walker County,3,66.5,3,0.038825005,0.006061619,0.006061794,0.041712367,0.093694877,0.111044069,0.006062285,0.082912306,0.46511213,0.00606161,0.122175879,0.0,3.5,5.4,10.2,C,Metro,69761,9
3512,TX,Texas,Walker County,2,69.0,1,0.014080055,0.01407952,0.01407936,0.01408111,0.014079716,0.119548657,0.014079391,0.014079841,0.75373283,0.014079361,0.014080143,0.0,0.0,0.0,0.0,C,Non-metro,72971,9
3513,TX,Texas,Walker County,1,69.0,2,0.015158052,0.015158105,0.0151582,0.01515791,0.015159803,0.445418715,0.015158062,0.015158402,0.418156058,0.015157682,0.015159016,0.0,0.0,0.0,0.0,C,Non-metro,72971,6
3514,TX,Texas,Walker County,22,69.0,3,0.063764108,0.072602724,0.094082135,0.034159919,0.069911419,0.146774954,0.070960029,0.045770755,0.26943014,0.030127154,0.085751139,0.0,0.0,0.0,0.0,C,Non-metro,72971,9
3515,WA,Washington,Walla Walla County,4,45.5,2,0.03030426,0.030304809,0.115784672,0.030304414,0.030306166,0.196969691,0.196960694,0.153157181,0.155292998,0.030304623,0.030310507,0.0,10.4,21.6,34.6,C,Metro,60760,6
3516,WA,Washington,Walla Walla County,18,45.5,3,0.057468432,0.051218938,0.239372013,0.042015939,0.053302275,0.062619088,0.055283815,0.111628588,0.133091005,0.069214102,0.108400298,0.0,10.4,21.6,34.6,C,Metro,60760,3
3517,TX,Texas,Waller County,1,62.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38967362,0.551863909,0.0,0.0,0.0,0.0,0.0,0.0,D,Metro,55246,9
3518,TX,Texas,Waller County,24,62.0,3,0.033962742,0.021738378,0.086433039,0.052174337,0.028716062,0.142298695,0.114417738,0.070615053,0.306740247,0.021855613,0.105889127,0.0,0.0,0.0,0.0,D,Metro,55246,9
3519,GA,Georgia,Walton County,1,51.5,1,0.0,0.0,0.123911209,0.0,0.0,0.143354654,0.0,0.11947491,0.549581289,0.0,0.0,0.0,2.9,4.9,9.7,B,Metro,94593,9
3520,GA,Georgia,Walton County,2,51.5,2,0.009100097,0.009099285,0.009100052,0.413157833,0.20021975,0.009099755,0.009099147,0.11658369,0.177113108,0.009099343,0.009099492,0.0,2.9,4.9,9.7,B,Metro,94593,4
3521,GA,Georgia,Walton County,16,51.5,3,0.057273894,0.070188927,0.08764076,0.052742503,0.107971682,0.205925561,0.053970814,0.089906933,0.117092751,0.025348505,0.115983188,0.0,2.9,4.9,9.7,B,Metro,94593,6
3522,FL,Florida,Walton County,3,63.0,2,0.17004172,0.097981304,0.119721293,0.17003266,0.18632704,0.0,0.02637887,0.0,0.0,0.109798965,0.063083733,0.0,8.1,14.7,23.0,C,Metro,74071,5
3523,FL,Florida,Walton County,24,63.0,3,0.05519891,0.073882949,0.084182839,0.093225472,0.053921618,0.10650644,0.204595488,0.050881022,0.063200179,0.037506972,0.155491661,0.0,8.1,14.7,23.0,C,Metro,74071,7
3524,WI,Wisconsin,Walworth County,1,41.0,1,0.334332824,0.320958674,0.012999015,0.012998306,0.012998362,0.012998488,0.013000253,0.240717098,0.012998343,0.012999565,0.01299903,0.0,4.6,12.9,26.6,B,Non-metro,103868,1
